"","AveExpr","Coef.NTvBT","Coef.nTvBT","t.NTvBT","t.nTvBT","P.value.NTvBT","P.value.nTvBT","F","F.p.value","Results.NTvBT","Results.nTvBT"
"MDA5",6.65166598760004,1.29207346560701,2.5863390365156,1.56020308867719,2.92968357635135,0.129992194314279,0.0066959448263014,4.35062329417625,0.0226751223985056,0,1
"Nup62",7.60340835261841,2.28677386976325,1.06623439509092,2.67705773478624,1.17092354967857,0.0123008832890232,0.25154014989133,3.58384807916693,0.0411928957884579,1,0
"NXP2",7.61546708965294,2.40337270626414,0.553843086073567,3.1357977457346,0.677883391135763,0.00401557752189502,0.503432940223211,5.18218916121853,0.0122005109098109,1,0
"OGDC-E2",7.22394729233819,2.98601537505139,1.50119052379571,3.96575332097483,1.8702979910143,0.000463299077862993,0.0719752806215976,7.88324492556636,0.00193404636180388,1,0
"P0",3.59015952643278,2.99732327404619,2.09303810515054,3.66601501182137,2.40148082963434,0.00102580896409989,0.0232427343226575,7.14927591743009,0.00311591422157505,1,0
"PCNA",8.02678127215496,3.28640038885934,3.68614638908883,4.08942277210751,4.30284252703848,0.000332594148429315,0.000187036047671631,12.3638728401868,0.000143188823422547,1,1
"PDC-E2",8.37402270678479,3.40491654101272,3.78401224212564,4.43211636547264,4.62060189506941,0.000131747330357694,7.89098885802036e-05,14.378850967596,5.11729923864863e-05,1,1
"PL-7",9.30817403963711,2.53612831340869,4.12590206316751,3.23580760032727,4.93823461255773,0.00311982396911082,3.3184607210238e-05,12.9735979414944,0.000104033867777627,1,1
"PL-12",8.19886517034352,1.28002162859739,3.06237851662967,1.52936004559986,3.43235846225075,0.13744280475947,0.00188609106805354,5.89318799512044,0.00733428829385916,0,1
"PM Scl75",6.46973124967858,1.64923350789175,3.53209914338843,1.9152180677221,3.8477806092892,0.065774339028815,0.000634470152450233,7.44876152584043,0.00255985992769906,0,1
"PM Scl100",8.14060101243362,0.920908842837064,2.65184342195163,1.12994859710049,3.0523284013311,0.268125483820209,0.00494685545141823,4.67634287108995,0.0177290909569515,0,1
"Sm RNP",6.61513365078267,4.37777554405192,3.14807729209483,4.53310729951615,3.05794190912735,0.000100127822168185,0.00487825450317292,11.047993779894,0.000292828749920679,1,1
"SP100",6.39362510210987,2.9871839899836,4.18717977529104,3.07979373891296,4.04969767225447,0.00461974901973113,0.000370028603955685,9.31872590832254,0.00079577219967639,1,1
"SRP54",7.2600945408155,1.92578263507813,2.50312751010363,2.3526326202485,2.86860768413272,0.0259326695549554,0.0077719180105143,4.89402916362189,0.0150766383754176,0,1
"B2GP1",7.82307470797137,1.69922061195299,3.20703970908233,2.19981342791212,3.89476944796332,0.0362770912608898,0.000559912435088427,7.76220662816079,0.002089962483085,0,1
"ssDNA",10.9424713680404,3.16670825638537,4.50032930865636,2.4708344140132,3.29398196827357,0.0244532471562673,0.00432264679520552,6.11995774306146,0.0100394633406286,0,1
"T1F1 g",7.6157958646344,2.83677973712901,4.49058013545136,2.122241164067,3.1514680234629,0.0495173963894409,0.0060811136591676,5.33619980349933,0.0165337699790244,0,1
"Tg",6.08619179519307,0.430233333975504,2.5478022629497,0.506754226396098,2.81514246899654,0.616311735036852,0.00884591763675699,4.25652999293178,0.0243654548001988,0,1
"TNF a",8.47834677809683,1.24957445906329,2.53463547839548,1.53095173806761,2.91310545221016,0.13704998286157,0.00697316126194574,4.29406146703398,0.0236755665888422,0,1
"VTN",8.28950690657336,2.39202918138782,0.22560666251389,3.04221494711381,0.269163817545751,0.00507277518745449,0.789785552913026,5.27339984502854,0.0114174509087245,1,0
