,AveExpr,Coef.NTvBT,Coef.nTvBT,t.NTvBT,t.nTvBT,P.value.NTvBT,P.value.nTvBT,F,F.p.value,Results.NTvBT,Results.nTvBT
dsDNA,11.9845921810632,2.46681254599404,2.69648511766002,2.3267374406674,2.50220294732157,0.0304064008728917,0.0209688989674823,4.10039337984765,0.0318945081889968,0,0
FBG IV,17.5395744211068,-0.0698428409004102,-0.353229203370475,-0.111744545216178,-0.533299700214458,0.91212076045427,0.599602580593207,0.150378585468649,0.861329427279581,0,0
FBG S,15.5071435390542,-0.339559380842395,0.311587971938701,-0.478998774315193,0.436459793243031,0.63704601393194,0.667098541837917,0.365583230495345,0.698256222794725,0,0
GAD65,12.1256053700496,4.00934104305393,3.56157338323515,3.58972241913072,3.07112363538706,0.00179251349938681,0.00594232794931496,7.89323219155258,0.00290075458083729,1,0
GBM,8.08061343429017,-6.95661470395014,-8.64340330493321,-6.45170425794289,-7.5240998329198,2.50289933303428e-06,2.65386149808612e-07,34.7347788293508,2.74734656501172e-07,-1,-1
gDNA,13.758115073416,2.92412924859219,3.19567583442685,3.0163185404769,3.2320680850543,0.00672995354567915,0.00411144014344458,6.86309054580891,0.00527140314642627,0,1
Gliadin,8.99261844624959,3.99875080220458,4.1696157429622,2.76923000870833,2.7723262384191,0.0117108319586983,0.0116307669825198,5.38222774730522,0.013296352641691,0,0
GP2,14.1114208339614,3.24263569416106,4.33239865198436,4.16584114159896,5.54147821666306,0.000462486886151985,1.88638881912398e-05,17.3404788793519,4.01673765941511e-05,1,1
GP210,8.70228881411938,1.23491475313395,4.87602636485794,0.857719990645845,3.44515042781507,0.401035773748993,0.00251123422761994,6.16289325866325,0.00807920097342665,0,1
Histone,12.9052504700336,-0.619291814584392,-0.066936582665388,-0.75492410213126,-0.0811657751306013,0.458942521172183,0.936103048728954,0.320371113534064,0.72947425515928,0,0
HSPG,9.96525936849053,-0.55213208639117,0.722533096612025,-0.586296119935207,0.742525043438579,0.56412353296402,0.46625408758869,0.77387774303644,0.474325302007159,0,0
IA-2,10.1895993577676,5.59433857541135,5.52235344929939,4.63508228782352,4.39418051438876,0.000153341007761101,0.000270060088481882,14.3143263563762,0.000131446443926326,1,1
IF,7.76049605621259,2.14754668654152,5.31137488320363,2.18939778952705,5.4370105857656,0.0403803178406377,2.3928636142474e-05,14.7907038801385,0.000108046818464238,0,1
Jo-1,10.6775702717121,6.02926688763205,6.06309814538265,4.8007410183521,4.78922217061707,0.000104070396017152,0.000106907775337017,16.1188361511511,6.37622171684821e-05,1,1
KS,7.4412122738367,4.40568039206778,5.18672353958163,3.39344429497791,3.83240614221988,0.00283171390256563,0.00101446552786618,9.23514249330683,0.00139935304612915,1,1
KU P70P80,7.94171844590913,2.62513425986497,2.80144130666319,2.32996014963484,2.35752745543332,0.0302022805135218,0.0285072300313402,3.85137545645798,0.0381487991420938,0,0
La SSB,9.04834171541155,2.24523172080421,5.16488428896862,2.32337689983236,5.42448669670877,0.0306206064626295,2.46225250112632e-05,14.7125936530412,0.000111547461012492,0,1
Laminin,5.48831417183153,-3.34382092630242,-3.61533698496746,-2.32117618874308,-2.37738930116977,0.0307616362814844,0.0273409924417956,3.87064523025017,0.0376195924941445,0,0
LC1,8.02797259030731,2.29911374350232,2.78920276883295,2.41332075784694,2.80695835365597,0.0253428562697387,0.0107700526033263,4.84376944472301,0.0190279161249468,0,0
LKM 1,7.85963212308371,5.25172951786126,3.8851575981454,5.17965014399047,3.55341481350758,4.31864570268792e-05,0.00195122688763294,14.519581844901,0.000120743810138715,1,1
M2,9.10391636744402,-3.59319330051352,-2.6158733080374,-3.81355140911599,-2.73251696495636,0.00106045421194909,0.0127010812232763,8.01967891849541,0.00270204670699465,-1,0
MBP,12.0733708937775,-4.0791895849099,-3.1983219441842,-5.16761726522405,-3.93654968103377,4.44018984530936e-05,0.000793940801229846,15.1876262319048,9.20251879667956e-05,-1,-1
MDA5,6.44434975379872,-3.26230330285798,-1.44296125258609,-3.357141899376,-1.44017723026149,0.00308033303887824,0.165024732580227,5.63524698435914,0.0112834136741518,-1,0
Mi-2,6.48534743498222,7.85107915430429,7.48214186245478,5.81671274185109,5.17479680263336,1.01375156360386e-05,4.3672571258493e-05,21.3540808786895,1.00498603964431e-05,1,1
MPO,11.1186150116591,-0.706254766584127,-2.06571909168804,-0.774790625570299,-2.10652463757883,0.447372570866906,0.0477596274796662,2.22803395925691,0.133355620922395,0,0
MYO,11.5398784940174,0.179087371513326,-0.392221357731065,0.215218391492866,-0.443571111491187,0.8317392144786,0.662032642628311,0.198297503276097,0.821691650745506,0,0
NCL,13.5863838864186,-4.25718068308061,-4.22579607493801,-4.85440341068431,-4.5993490664054,9.1823333419779e-05,0.000166744543049404,15.6924979675857,7.5301502774887e-05,-1,-1
Nucleosome ,13.6448592292885,-1.87576803933593,-0.472881121821889,-1.84963798915679,-0.48565892974502,0.0789427963779093,0.632396667312069,1.76669671854557,0.196115847280959,0,0
Nup62,12.7717726182089,1.63975214562474,-1.04105926404797,1.37129775018705,-0.758825012438713,0.185214571626667,0.456656559631832,2.0433589540465,0.155346921083122,0,0
NXP2,9.1270792331928,1.52797676145775,5.45735971496944,0.981919710865542,3.70738248566035,0.337669451915017,0.00136075920600466,7.09154639683374,0.00460327561764693,0,1
OGDC-E2,6.65953293795566,-3.12325179570632,-1.66017337331977,-3.02164408927064,-1.55580326793522,0.00664920040456281,0.135169692704832,4.60885279514265,0.0223386992624083,0,0
PCNA,5.57883693476361,1.37304804535838,1.70466009662059,1.19253248066556,1.4302749373488,0.246772084791252,0.167812967015212,1.23031179769754,0.313037042918557,0,0
PDC-E2,8.36360292200647,-0.888035907864731,-0.402358095240318,-0.874591219587249,-0.383100085438085,0.392001075355967,0.705617918532704,0.382518146230639,0.686943224704467,0,0
PL-7,10.8022904590727,2.73050569494001,3.23622114668419,3.50133206780248,4.04846124291008,0.00220333308443363,0.000609917772156175,10.1205365238359,0.000888819525295378,1,1
PL-12,8.03087719393615,1.27924455354573,1.77490402279615,1.36137970904089,1.81166508114817,0.188277366258789,0.0848226871401477,1.8529883306873,0.182261771259786,0,0
PM Scl75,7.63932876277448,3.77292279134544,1.60320064697974,2.98094929770083,1.17183506332248,0.00729077711661951,0.254799863006032,4.44904865926479,0.0249508182620365,0,0
PM Scl100,10.1797126309827,-2.24590797738287,-1.39666787118001,-2.75223420874107,-1.64401340157156,0.0121597560760812,0.115533694000887,3.92265354335653,0.0362311017666865,0,0
Ro SSA 52,5.85808872735453,0.0470299747969358,-0.0739821351452994,0.0540042745701164,-0.081750366805295,0.957458390840379,0.93564390527285,0.008167253903057,0.991869256759932,0,0
Ro SSA 60,1.36943359222147,-0.756702883933322,-1.62080621743533,-0.856285074163029,-1.71476926323104,0.401810344629681,0.101576714509174,1.47978147311938,0.251177592361407,0,0
SAE1 SAE2 ,7.63119588298668,7.69350912305083,5.12265663585461,5.76997523425966,3.46804120058834,1.12582802253546e-05,0.0023809882799963,17.2668846400483,4.1277069744402e-05,1,1
Scl70,11.0184194986254,-6.68528427370023,-7.13568439763625,-7.78079756541466,-7.70623668405959,1.58681628512479e-07,1.84079581250216e-07,42.03971775504,5.92801056004211e-08,-1,-1
Sm,9.99603799995901,0.535889073085027,-2.48890399562582,0.414215788803089,-1.74207910596588,0.68304924953674,0.0965889572962889,2.33554080214561,0.122144380112006,0,0
Sm RNP,9.17062020191266,1.21073778848197,-1.95017863308546,0.740054556832007,-1.0954472995153,0.467719169724991,0.286115862182994,1.49052746402275,0.248833223150219,0,0
SmD,5.12667329713771,2.52604224998279,-0.794323820085927,1.38137071454841,-0.410600742604895,0.182144615294981,0.685656210770183,1.56473829616169,0.23328447998617,0,0
SmD1,7.26228974882063,2.68207681638236,0.996686251808021,1.9294478217616,0.676043472634976,0.0677356441389377,0.506623751938116,1.8745317724399,0.178973108015765,0,0
SP100,5.75562232806617,0.56938073830109,1.03921148943991,0.442983313687983,0.781193426078639,0.662450747275591,0.443681975990409,0.312510081334944,0.735056979427976,0,0
SRP54,9.71884315798328,-4.24175837208273,-5.25278156703023,-5.12658357796564,-5.96864783063081,4.8814396837425e-05,7.2217843223393e-06,21.8850473780849,8.47928841061245e-06,-1,-1
B2GP1,10.4569899989416,-7.88397115137972,-5.35827936770141,-7.17009660458698,-4.8381358015468,5.4728267863624e-07,9.53735181802078e-05,27.6431199662098,1.57913133066741e-06,-1,-1
ssDNA,16.3064142793712,1.28380419995849,2.08308114744761,1.56282036298079,2.44482748290774,0.133511981157427,0.0237033364190131,3.15405285459955,0.064094602342429,0,0
T1F1 g,12.5679171830916,0.67083025383271,1.80576830138958,0.766631662394677,2.08566425659436,0.452102520707051,0.0497997443274532,2.18419793538252,0.138247416931259,0,0
Tg,4.24214155289371,-1.55507614305605,-3.27501892671363,-0.943118175318113,-1.85776488914953,0.356682859235988,0.0777316774314641,1.73957259715374,0.200706432914889,0,0
TNF a,4.89719073800867,3.77455824259885,1.34544293412337,2.42196215463081,0.824751321365132,0.02488298475201,0.419075209683312,2.95938355559945,0.0744451576425092,0,0
TPO,12.3120602607649,3.9468391753038,3.25055247566065,3.88603344969558,3.04878413393298,0.000894213577601241,0.00625198529731831,8.73437135166655,0.00182571620444637,1,0
tTG,10.0716398123423,7.20823828791047,6.40256451206766,7.30285770524702,6.14760936348339,4.16360374237632e-07,4.86057188223889e-06,32.2899791084667,4.85599916147155e-07,1,1
snRNP A,14.5996387533251,-1.85004224037986,-3.38804114430782,-2.35639384101043,-3.87013094666376,0.0285751623665033,0.00092831384944804,7.79369847767,0.00306846976016437,0,-1
snRNP C,7.75286353886375,-5.52072995136947,-7.13819896834712,-4.55930542706043,-5.53873385234636,0.000183174857349426,1.89818396129796e-05,18.2900642877069,2.84405778548322e-05,-1,-1
snRNP B B',6.6999176175235,-2.34048145317515,-2.63035237870257,-1.74365876154854,-1.87948567835195,0.0963070062287255,0.0745742116766263,2.30879145013279,0.124833760878229,0,0
VIM,11.9597693698314,-1.20502100478236,-2.31367756018231,-0.983304002083123,-1.72689129584668,0.337004286468163,0.0993361979645721,1.52834649181567,0.240771699801972,0,0
VTN,12.2132616686732,0.837567839140863,-1.41078044220176,0.536692091458556,-0.788225440784633,0.5972992235289,0.43965031209171,0.776173848521896,0.473314360689121,0,0
